Change Component Footprint: Designator=C1 Old Footprint=CAPC0603(1608)55_N New Footprint=CAPC0603(1608)55_N
Change Component Footprint: Designator=C2 Old Footprint=CAPC0805(2012)100_N New Footprint=CAPC0805(2012)100_N
Change Component Footprint: Designator=R1 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R2 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R3 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R4 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R5 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R6 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R7 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R8 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R9 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R10 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R11 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R12 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R13 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R14 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R15 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Component Footprint: Designator=R16 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
